315,CD300A 
316,CD34 
317,CD36 
318,CD37 
319,CD44 
320,CD4 
321,CD52 
322,CD53 
323,CD55 
324,CD68 
325,CD74 
326,CD84 
327,CD93 
328,CD99L2 
329,CD9 
330,CDC42EP1 
331,CDC42EP3 
332,CDH11 
333,CDH17 
334,CDH19 
335,CDH24 
336,CDH3 
337,CDH5 
338,CDH6 
339,CDHR3 
340,CDHR5 
341,CDK1 
342,CDK5R1 
343,CDKN1A 
344,CDKN1C 
345,CDKN2A 
346,CDKN2B 
347,CDKN2C 
348,CDR2L 
349,CDX2 
350,CEACAM1 
351,CEACAM5 
352,CEACAM6 
353,CEACAM7 
354,CEBPB 
355,CEBPD 
356,CEBPG 
357,CECR1 
358,CELA2A 
359,CELA2B 
360,CELA3A 
361,CELA3B 
362,CELF2 
363,CEL 
364,CENPE 
365,CENPF 
366,CERCAM 
367,CES1 
368,CES2 
369,CFB 
370,CFC1 
371,CFH 
372,CFI 
373,CFTR 
374,CGA 
375,CH25H 
376,CHAC1 
377,CHI3L1 
378,CHL1 
379,CHN2 
380,CHRM3 
381,CHST15 
382,CHST1 
383,CHST4 
384,CHSY1 
385,CIDEB 
386,CITED4 
387,CKS2 
388,CLDN10 
389,CLDN11 
390,CLDN18 
391,CLDN1 
392,CLDN23 
393,CLDN2 
394,CLDN4 
395,CLDN7 
396,CLEC14A 
397,CLEC2B 
398,CLEC7A 
399,CLGN 
400,CLIC2 
401,CLIC4 
402,CLIC5 
403,CLIC6 
404,CLMN 
405,CLN8 
406,CLPS 
407,CLSPN 
408,CMPK2 
409,CMTM3 
410,CMTM7 
411,CMYA5 
412,CNIH2 
413,CNIH3 
414,CNN2 
415,CNN3 
416,CNTN4 
417,CNTN5 
418,CNTNAP2 
419,CNTNAP5 
420,COL12A1 
421,COL13A1 
422,COL14A1 
423,COL15A1 
424,COL16A1 
425,COL18A1 
426,COL1A1 
427,COL1A2 
428,COL22A1 
429,COL3A1 
430,COL4A1 
431,COL4A2 
432,COL5A1 
433,COL5A2 
434,COL5A3 
435,COL6A1 
436,COL6A2 
437,COL6A3 
438,COL8A1 
439,COL9A2 
440,CORO2A 
441,COTL1 
442,CPA1 
443,CPA2 
444,CPA3 
445,CPA4 
446,CPB1 
447,CPLX2 
448,CPM 
449,CPNE4 
450,CPVL 
451,CP 
452,CRABP2 
453,CRCT1 
454,CREB3L1 
455,CREB5 
456,CRH 
457,CRIM1 
458,CRISPLD2 
459,CRLF1 
460,CRP 
461,CRTAC1 
462,CRTAP 
463,CRYAB 
464,CRYBA2 
465,CSDA 
466,CSF1R 
467,CSF1 
468,CSF2RB 
469,CSGALNACT1 
470,CSRP2 
471,CSTA 
472,CTGF 
473,CTHRC1 
474,CTRB1 
475,CTRB2 
476,CTRC 
477,CTRL 
478,CTSB 
479,CTSC 
480,CTSD 
481,CTSE 
482,CTSH 
483,CTSK 
484,CTSL1 
485,CTSL2 
486,CTSS 
487,CTTNBP2 
488,CX3CL1 
489,CXADR 
490,CXCL12 
491,CXCL16 
492,CXCL17 
493,CXCL1 
494,CXCL2 
495,CXCL3 
496,CXCL5 
497,CXCL6 
498,CXCR4 
499,CXCR7 
500,CXXC4 
501,CYB5A 
502,CYBB 
503,CYBRD1 
504,CYGB 
505,CYP17A1 
506,CYP1A1 
507,CYP1B1 
508,CYP26B1 
509,CYP27A1 
510,CYP2C18 
511,CYP2C9 
512,CYP2U1 
513,CYP3A5 
514,CYP4F24P 
515,CYR61 
516,CYTH3 
517,CYYR1 
518,DAB2IP 
519,DAB2 
520,DACH1 
521,DACT1 
522,DAG1 
523,DAPL1 
524,DCBLD2 
525,DCC 
526,DCDC2 
527,DCDC5 
528,DCHS2 
529,DCLK1 
530,DCN 
531,DCX 
532,DDC 
533,DDIT3 
534,DDIT4 
535,DDX3Y 
536,DEFB1 
537,DGKD 
538,DHCR24 
539,DHFR 
540,DHRS2 
541,DHRS3 
542,DIAPH3 
543,DIP2C 
544,DIRAS3 
545,DKFZp686K1684 
546,DKK3 
547,DLC1 
548,DLK1 
549,DMBT1 
550,DNAH5 
551,DNAJA4 
552,DNAJB1 
553,DNAJB9 
554,DNAJC12 
555,DNER 
556,DNM3OS 
557,DOCK10 
558,DOCK11 
559,DOCK4 
560,DOK3 
561,DOK5 
562,DOK6 
563,DPCR1 
564,DPP4 
565,DPYSL3 
566,DSC2 
567,DSCR6 
568,DTX1 
569,DTX4 
570,DUOX2 
571,DUSP10 
572,DUSP1 
573,DUSP2 
574,DUSP4 
575,DUSP5 
576,DUSP6 
577,DYNC2H1 
578,EBF1 
579,ECEL1 
580,ECSCR 
581,EDA2R 
582,EDARADD 
583,EDN1 
584,EDN2 
585,EDN3 
586,EDNRA 
587,EDNRB 
588,EFEMP1 
589,EFNA1 
590,EFNB2 
591,EFNB3 
592,EGFEM1P 
593,EGFR 
594,EGF 
595,EGR1 
596,EGR2 
597,EGR3 
598,EGR4 
599,EHD2 
600,EHD4 
601,EHF 
602,ELAVL3 
603,ELAVL4 
604,ELF3 
605,ELMO1 
606,ELOVL7 
607,ELTD1 
608,EMCN 
609,EMP1 
610,EMR2 
611,ENAH 
612,ENC1 
613,ENG 
614,ENO2 
615,ENPEP 
616,ENPP2 
617,ENTPD2 
618,ENTPD3 
619,EPAS1 
620,EPHA2 
621,EPHA5 
622,EPS8L3 
623,EPS8 
624,ERBB3 
625,ERBB4 
626,ERG 
627,ERO1LB 
628,ERP27 
629,ERRFI1 
630,ESAM 
631,ESM1 
632,ESRRG 
633,ETS1 
634,ETS2 
635,ETV1 
636,EVI2A 
637,EVI2B 
638,EXOC3L2 
639,EXPH5 
640,EXT1 
641,EYA4 
642,EYS 
643,F10 
644,F2RL1 
645,F2RL2 
